TLC2 Version 2.19 of 08 August 2024 (rev: 5a47802)
Warning: Please run the Java VM which executes TLC with a throughput optimized garbage collector by passing the "-XX:+UseParallelGC" property.
(Use the -nowarning option to disable this warning.)
Running Random Simulation with seed 3524370580549427045 with 20 workers on 72 cores with 30208MB heap and 64MB offheap memory [pid: 376461] (Linux 6.12.69+deb13-cloud-amd64 amd64, Debian 21.0.10 x86_64).
Parsing file /home/alexandre.siret/AccordTLASpec/SpecAccord/RecoveryAndCommitSpec/AccordSpec.tla
Parsing file /tmp/TLC.tla
Parsing file /tmp/Naturals.tla
Parsing file /tmp/Sequences.tla
Parsing file /tmp/FiniteSets.tla
Semantic processing of module Naturals
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module TLC
Semantic processing of module AccordSpec
Starting... (2026-03-30 10:47:25)
Computed 1 initial states...
Progress: 7776317 states checked.
Progress: 15749615 states checked.
Progress: 23712822 states checked.
Progress: 31702163 states checked.
Progress: 39698077 states checked.
Progress: 47667842 states checked.
Progress: 55544565 states checked.
Progress: 62270814 states checked.
Progress: 69603973 states checked.
Progress: 77588085 states checked.
Progress: 85609512 states checked.
Progress: 93628241 states checked.
Progress: 101476966 states checked.
Progress: 108083592 states checked.
Progress: 114574092 states checked.
Progress: 121519318 states checked.
Progress: 128567806 states checked.
Progress: 135986216 states checked.
Progress: 143981184 states checked.
Progress: 151968753 states checked.
Progress: 159956033 states checked.
Progress: 167947099 states checked.
Progress: 175943548 states checked.
Progress: 183896874 states checked.
Progress: 191284631 states checked.
Progress: 197203842 states checked.
Progress: 203211888 states checked.
Progress: 209353455 states checked.
Progress: 215457455 states checked.
Progress: 221472417 states checked.
Progress: 228943758 states checked.
Progress: 236900786 states checked.
Progress: 244831525 states checked.
Progress: 252804759 states checked.
Progress: 260794164 states checked.
Progress: 268801462 states checked.
Progress: 276781814 states checked.
Progress: 284739205 states checked.
Progress: 292689261 states checked.
Progress: 300638208 states checked.
Progress: 308591348 states checked.
Progress: 316562678 states checked.
Progress: 324566790 states checked.
Progress: 332562081 states checked.
Progress: 340582016 states checked.
Progress: 348595269 states checked.
Progress: 356613316 states checked.
Progress: 364619116 states checked.
Progress: 372617618 states checked.
Progress: 380623228 states checked.
Progress: 388616364 states checked.
Progress: 396627989 states checked.
Progress: 404638473 states checked.
Progress: 412622809 states checked.
Progress: 420619466 states checked.
Progress: 428623645 states checked.
Progress: 436602033 states checked.
